Song,Artist,Album,Year,Genre,Discovery,Rank,Row,Position
Whistle for the Choir,The Fratellis,Costello Music,2007,Alternative,High School,73,3,3
I Can't Stop Your Memory,of Montreal,Cherry Peel,1997,Alternative,College,74,3,4
In Remission,The Menzingers,Rented World,2014,Punk,College,75,3,5
Basket Case,Green Day,Dookie,1994,Rock,Childhood,76,3,6
Fare Thee Well (Dink's Song),"Oscar Isaac, Marcus Mumford",Inside Llewyn Davis: Original Soundtrack Recording,2014,Folk,College,77,3,7
Beast of Burden,The Rolling Stones,Some Girls,1978,Rock,College,78,3,8
BTSTU (Edit),Jai Paul,BTSTU (Single),2011,Pop,Post-Grad,79,3,9
Saturday Night,Misfits,Famous Monsters,1999,Punk,College,80,3,10
Santeria,Sublime,Sublime,1996,Punk,High School,81,2,1
Welcome to the Black Parade,My Chemical Romance,The Black Parade,2006,Punk,Childhood,82,2,2
Masterpiece,Big Thief,Masterpiece,2016,Alternative,Post-Grad,83,2,3
Jerusalem,Dan Bern,Dan Bern,1997,Folk,College,84,2,4
Polar Opposites,Modest Mouse,The Lonesome Crowded West,1997,Alternative,High School,85,2,5
"Lover, Where Do You Live?",Highasakite,Silent Treatment,2014,Pop,College,86,2,6
Dream a Little Dream of Me,"Ella Fitzgerald, Louis Armstrong",Ella & Friends,1996,Pop,College,87,2,7
17,Youth Lagoon,The Year of Hibernation,2011,Alternative,High School,88,2,8
American Kids,Poppy,Bubblebath,2016,Pop,Post-Grad,89,2,9
The Beers,The Front Bottoms,The Front Bottoms,2011,Alternative,College,90,2,10
I (Who Have Nothing),Tom Jones,I Who Have Nothing,1970,Pop,College,91,1,1
Sleep in the Heat,PUP,The Dream Is Over,2016,Punk,Post-Grad,92,1,2
Better Boy,Park Jefferson,Park Jefferson,2013,Punk,College,93,1,3
Waiting for My Real Life to Begin,Colin Hay,Going Somewhere,2000,Rock,College,94,1,4
Polly,Whitney,Light Upon the Lake,2016,Alternative,Post-Grad,95,1,5
That's My Baby,Sleeper Agent,Celabrasion,2011,Alternative,High School,96,1,6
Tamago,Forests,Sun Eat Moon Grave Party,2017,Punk,Post-Grad,97,1,7
Another Sunny Day,Belle & Sebastian,The Life Pursuit,2006,Alternative,High School,98,1,8
Going to Georgia,The Mountain Goats,Zopilote Machine,2005,Alternative,College,99,1,9
World Spins Madly On,The Weepies,Say I Am You,2006,Pop,College,100,1,10
